time,lat,lon,alt,vn,ve,vd,GPS_TOW,theta,p_bias,q_bias,r_bias,ax_bias,ay_bias,az_bias,navvd
150.9,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.49972814,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.025493
150.92,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.49996045,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.020599
150.94,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.5002676,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.0205812
150.96,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.5006166,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.014897
150.98,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.5008884,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.015935
151.0,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.5012662,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.0104256
151.02,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.5015301,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.0146127
151.04,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.5018997,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.010469
151.06,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.50209326,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.0123177
151.08,44.725815131614674,-93.07567671402816,273.2223815917969,2.0227237,-15.995269,-4.6435957,223134.0,0.5025257,0.016777486,0.0048350696,0.034485776,-0.17527449,-0.2761528,-0.13530423,-4.010463
